vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23G217111,71.9,23.07,31.29,98.91,122,12.98,77.53
MD9EMHDL23G217115,68.29,27.36,17.29,100.0,141,28.53,77.22
MD9EMHDL23G217119,82.26,18.24,43.35,100.0,136,13.07,77.53
MD9EMHDL23G217124,32.48,0.0,32.48,32.48,4,12.99,77.51
MD9EMHDL23G217129,76.16,20.36,29.33,100.0,130,14.44,80.0
MD9EMHDL23G217131,70.59,22.02,0.0,100.0,153,28.65,77.25
MD9EMHDL23G217149,70.05,25.06,23.45,100.0,137,28.56,77.26
MD9EMHDL23G217166,71.37,36.06,0.0,100.0,167,28.53,77.28
MD9EMHDL23G217171,87.25,16.08,51.4,100.0,136,28.56,77.26
MD9EMHDL23G217175,81.84,20.72,29.62,100.0,155,28.51,77.19
MD9EMHDL23G217184,86.56,13.25,39.63,100.0,154,13.07,80.23
MD9EMHDL23G217187,69.79,1.67,66.62,71.53,128,23.06,72.64
MD9EMHDL23G217192,21.42,5.22,8.99,32.63,93,28.41,76.89
MD9EMHDL23H217008,89.74,15.02,36.66,100.0,165,28.48,77.32
MD9EMHDL23H217025,63.17,24.41,6.23,99.23,124,28.54,77.27
MD9EMHDL23H217029,35.34,0.0,35.34,35.34,4,28.68,77.29
MD9EMHDL23H217042,80.93,25.71,16.19,100.0,150,22.72,75.93
MD9EMHDL23H217048,85.36,18.23,26.63,100.0,183,23.21,72.64
MD9EMHDL23H217059,82.04,18.79,43.1,100.0,174,28.59,77.07
MD9EMHDL23H217064,83.01,22.86,10.34,100.0,185,28.51,77.11
MD9EMHDL23H217071,93.47,4.84,87.09,100.0,113,28.7,77.18
MD9EMHDL23H217072,85.75,14.08,46.44,100.0,155,22.8,75.91
MD9EMHDL23H217075,60.38,0.0,60.38,60.38,4,10.77,79.61
MD9EMHDL23H217077,100.0,0.0,100.0,100.0,4,28.74,77.31
MD9EMHDL23H217089,82.1,15.88,33.56,100.0,113,28.75,77.25
MD9EMHDL23H217090,69.37,2.97,58.9,73.29,109,28.76,77.21
MD9EMHDL23H217095,97.34,7.06,59.37,100.0,144,28.61,77.01
MD9EMHDL23H217102,89.51,0.0,89.51,89.51,149,28.61,77.32
MD9EMHDL23H217113,46.02,25.84,15.12,100.0,148,17.31,78.44
MD9EMHDL23H217115,88.83,17.02,28.41,100.0,179,28.64,77.13
MD9EMHDL23H217121,56.31,0.1,56.09,56.51,112,13.07,77.47
MD9EMHDL23H217124,83.54,12.73,57.11,100.0,132,28.65,77.09
MD9EMHDL23H217125,73.67,26.5,15.19,100.0,128,12.31,78.21
MD9EMHDL23H217126,83.88,11.47,57.28,100.0,172,18.63,73.78
MD9EMHDL23H217127,69.65,17.48,18.13,100.0,131,13.05,77.52
MD9EMHDL23H217134,86.33,10.79,68.51,100.0,134,28.64,77.42
MD9EMHDL23H217144,84.94,20.19,28.56,100.0,162,28.61,77.07
MD9EMHDL23H217154,89.76,9.15,64.4,100.0,153,17.2,78.65
MD9EMHDL23H217155,73.48,18.92,29.55,100.0,159,12.6,78.53
